file,price,beds,baths,sqft,yearbuilt,zip,zestimate,zlink,address,dateofsale
boston_sold_02110.csv,625000,1,1.5,725,1987,2110,592123,http://www.zillow.com/homedetails/20-Rowes-Wharf-APT-603-Boston-MA-02110/59163918_zpid/,"20 Rowes Wharf, APT 603, Boston, MA 02110", 9/11/12
boston_sold_02110.csv,1,1,1.5,1234,1972,2110,608222,http://www.zillow.com/homedetails/65-E-India-Row-APT-4C-Boston-MA-02110/59174965_zpid/,"65 E India Row, APT 4C, Boston, MA 02110",9/6/12
boston_sold_02110.csv,1550000,1,1,750,1972,2110,470537,http://www.zillow.com/homedetails/85-E-India-Row-APT-21D-Boston-MA-02110/59175402_zpid/,"85 E India Row, APT 21D, Boston, MA 02110",9/5/12
boston_sold_02110.csv,610000,2,1.5,1182,1972,2110,642497,http://www.zillow.com/homedetails/65-E-India-Row-APT-33C-Boston-MA-02110/59175186_zpid/,"65 E India Row, APT 33C, Boston, MA 02110",9/5/12
boston_sold_02110.csv,450000,1,1,800,1972,2110,495748,http://www.zillow.com/homedetails/85-E-India-Row-APT-8A-Boston-MA-02110/59175303_zpid/,"85 E India Row, APT 8A, Boston, MA 02110",9/5/12
boston_sold_02110.csv,1550000,1,1.5,1230,1972,2110,719114,http://www.zillow.com/homedetails/85-E-India-Row-APT-21C-Boston-MA-02110/59175401_zpid/,"85 E India Row, APT 21C, Boston, MA 02110",9/5/12
boston_sold_02110.csv,720000,1,2,1564,1910,2110,755095,http://www.zillow.com/homedetails/289-Devonshire-St-FL-5-Boston-MA-02110/67709854_zpid/,"289 Devonshire St, FL 5, Boston, MA 02110", 8/30/12
boston_sold_02110.csv,975000,2,2.5,1664,2006,2110,1131363,http://www.zillow.com/homedetails/80-Broad-St-UNIT-PH120-Boston-MA-02110/81857515_zpid/,"80 Broad St, UNIT PH120, Boston, MA 02110", 8/30/12
boston_sold_02110.csv,599000,1,1,879,1970,2110,562209,http://www.zillow.com/homedetails/85-E-India-Row-APT-40H-Boston-MA-02110/59175556_zpid/,"85 E India Row, APT 40H, Boston, MA 02110", 8/28/12
boston_sold_02110.csv,800000,2,2,1280,1850,2110,854568,http://www.zillow.com/homedetails/28-32-Atlantic-Ave-UNIT-336-Boston-MA-02110/59174284_zpid/,"28-32 Atlantic Ave, UNIT 336, BOSTON, MA 02110", 8/28/12
boston_sold_02110.csv,1180000,2,2,1622,1970,2110,1067324,http://www.zillow.com/homedetails/65-E-India-Row-APT-33B-Boston-MA-02110/59175185_zpid/,"65 E India Row, APT 33B, Boston, MA 02110", 8/27/12
boston_sold_02110.csv,585000,1,1,875,1972,2110,0,http://www.zillow.com/homedetails/85-E-India-Row-APT-26H-Boston-MA-02110/59175446_zpid/,"85 E India Row, APT 26H, Boston, MA 02110", 8/17/12
boston_sold_02110.csv,1825000,2,2.5,1633,1972,2110,1063784,http://www.zillow.com/homedetails/85-E-India-Row-APT-31B-Boston-MA-02110/59175479_zpid/,"85 E India Row, APT 31B, Boston, MA 02110", 8/16/12
boston_sold_02110.csv,1825000,1,1,752,1972,2110,471776,http://www.zillow.com/homedetails/85-E-India-Row-APT-31A-Boston-MA-02110/59175478_zpid/,"85 E India Row, APT 31A, Boston, MA 02110", 8/16/12
boston_sold_02110.csv,740000,2,2,1225,1970,2110,747474,http://www.zillow.com/homedetails/85-E-India-Row-APT-3C-Boston-MA-02110/59175266_zpid/,"85 E India Row, APT 3C, Boston, MA 02110",8/1/12
boston_sold_02110.csv,498000,1,1,882,1972,2110,509171,http://www.zillow.com/homedetails/85-E-India-Row-APT-6H-Boston-MA-02110/59175294_zpid/,"85 E India Row, APT 6H, Boston, MA 02110", 7/31/12
boston_sold_02110.csv,1,1,1,836,2006,2110,593022,http://www.zillow.com/homedetails/80-Broad-St-UNIT-803-Boston-MA-02110/81857234_zpid/,"80 Broad St, UNIT 803, Boston, MA 02110", 7/18/12
boston_sold_02110.csv,1525000,2,2.5,1640,1972,2110,984082,http://www.zillow.com/homedetails/85-E-India-Row-APT-6B-Boston-MA-02110/59175288_zpid/,"85 E India Row, APT 6B, Boston, MA 02110", 7/17/12
boston_sold_02110.csv,1525000,1,1,749,1972,2110,490237,http://www.zillow.com/homedetails/85-E-India-Row-APT-6A-Boston-MA-02110/59175287_zpid/,"85 E India Row, APT 6A, Boston, MA 02110", 7/17/12
boston_sold_02110.csv,375000,1,1,748,1972,2110,460019,http://www.zillow.com/homedetails/85-E-India-Row-APT-40D-Boston-MA-02110/59175552_zpid/,"85 E India Row, APT 40D, Boston, MA 02110", 7/16/12
